site_code, pft_f1, pft_c1, pft_f2, pft_c2, pft_f3, pft_c3, pft_f4, pft_c4, pft_f5, pft_c5
US-Ho1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-MOz, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Var, 100.0, 13,0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
FI-Hyy, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
BR-Sa1, 100.0, 4, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Oas, 100.0, 8, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
PA-SPn,	100.0, 6, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AU-Tum, 100.0, 5, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
RU-SkP, 100.0, 3, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Atq, 100.0, 12,0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AU-DaP, 100.0, 14,0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-SRC, 100.0, 10, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
ES-LJu,	100.0, 9, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
RU-Cok,	100.0, 11,0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
IT-Ren, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Blo, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
