site_code,soil_depth,n_layers,layer_depth,layer_sand%,layer_clay%
US-Ho1,0.8,1,-999,50.3,15.9
US-MOz,-999,1,-999,46.38,24.68
US-Var,-999,1,-999,50.43,25.01
FI-Hyy,-999,1,-999,45,16
BR-Sa1,-999,1,-999,48,32
CA-Oas,-999,1,-999,27,32
PA-SPn,-999,1,-999,47,26
AU-Tum,-999,1,-999,53,30
RU-SkP,-999,1,-999,41,25
US-Atq,-999,1,-999,47,9
AU-DaP,-999,1,-999,67,14
RU-Cok,-999,1,-999,35,10
US-SRC,-999,1,-999,59,13
ES-LJu,-999,1,-999,45,21
IT-Ren,-999,1,-999,54,13
US-Blo,-999,1,-999,51,20
US-Ha1,-999,1,-999,66,6
RU-Fyo,-999,1,-999,37,15
GH-Ank,-999,1,-999,45,39
NZ-Kop,-999,1,-999,35,28
ZM-Mon,-999,1,-999,72,13
GL-ZaH,-999,1,-999,82,8
CN-Dan,-999,1,-999,60,19
CN-Du2,-999,1,-999,57,21
US-RO4,-999,1,-999,39,22
IT-Cpz,-999,1,-999,43,18
