TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
1991,8.014,0.180594,137.546,0.525457,265.084,0.0,3.344,0.179795,98.534,0.0,1262.417,0.178082,1.976,0.135959,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.013,0.0,-9999,-9999,16.0668,0.177626,-9999,0.647067,298.869,0.174886,7.98951,298.533,299.395,301.146,0.174886,0.174772,0.174201,635.652,634.187,635.652,641.421,337.099,333.889,336.546,340.179,666.918,672.676,682.666,687.741,294.346,292.837,295.38,306.998,126.998,0.219178
1992,8.387,0.896403,140.778,0.889458,263.162,0.0,2.746,0.888775,98.489,0.47393,1101.7,1.0,2.272,0.724841,0.495597182869,0.643328779599,60.8633987368,0.722108378871,268.849291557,0.758424408015,-9999,-9999,8.58,0.894126,-9999,1.0,33.2759,0.610087,-9999,0.27979,29.3571,0.883766,-9999,0.355854,-117.89,0.844945,6.61214,-118.375,-116.346,-109.883,0.846311,0.84301,0.839936,968.623,969.624,985.801,994.4,1087.0,1089.21,1102.14,1105.98,1079.23,1066.25,1084.07,1102.51,1202.98,1202.86,1207.52,1216.01,930.854,1.0
1993,7.516,0.584018,149.267,0.891667,265.649,0.0,3.351,0.502283,98.717,0.773288,1226.5,1.0,2.307,0.677511,0.510303560014,0.592808219178,65.4876430858,0.724885844749,277.725428695,0.797374429224,-9999,-9999,8.234,0.847489,-9999,1.0,48.2087,0.540068,-9999,0.315005,25.9934,0.884361,-9999,0.592265,-184.776,0.847831,11.4588,-199.909,-184.776,-149.613,0.853653,0.847831,0.823744,1044.93,1031.04,1048.53,1080.96,1234.53,1227.32,1233.3,1244.29,1278.27,1375.35,1411.68,1488.64,1595.47,1486.38,1525.13,1571.65,1008.95,1.0
1994,8.552,0.796119,150.096,0.936872,261.219,0.0,3.245,0.793721,98.209,0.867123,1326.1,1.0,2.355,0.848744,0.52833727803,0.799086757991,65.883222079,0.840296803653,292.374431595,0.862214611872,365.428,0.813813,8.887,0.928196,-9999,1.0,32.9437,0.780822,-9999,0.213226,30.5533,0.939954,-9999,0.326628,-182.25,0.898516,8.18254,-198.118,-181.886,-142.993,0.904795,0.89589,0.870434,1054.14,1042.97,1092.11,1161.68,1241.78,1239.35,1270.77,1306.27,1128.49,1132.11,1175.03,1221.33,1367.66,1359.73,1396.99,1415.47,1063.52,1.0
1995,7.647,0.949315,153.325,0.94395,254.515,0.0,3.077,0.947945,98.434,0.845205,1077.4,1.0,2.257,0.791324,0.513182825072,0.718949771689,84.0011671547,0.834132420091,293.824395235,0.874771689498,368.366,0.936872,8.991,0.949315,-9999,1.0,35.3361,0.926941,-9999,0.205222,34.1151,0.936187,-9999,0.281193,-227.71,0.881621,6.8055,-241.125,-222.072,-169.016,0.888356,0.879224,0.833562,1015.67,1011.72,1047.26,1154.4,1256.79,1253.36,1264.34,1298.73,996.808,1015.93,1057.71,1242.15,1307.96,1311.18,1326.07,1358.74,889.623,1.0
1996,7.418,0.958561,140.679,0.954007,257.577,0.0,2.965,0.956512,98.458,0.919057,1469.6,1.0,2.328,0.862363,0.514253661657,0.802254098361,75.6566118487,0.892987249545,277.203777851,0.882513661202,369.683,0.913251,8.81,0.958219,-9999,1.0,32.5773,0.944217,-9999,0.207119,28.4413,0.954804,-9999,0.328772,-73.2656,0.904144,7.69149,-112.007,-51.4924,19.7802,0.924977,0.89276,0.842555,1215.34,1165.71,1275.44,1307.28,1309.71,1272.51,1288.19,1309.71,1202.59,1169.01,1192.66,1266.39,1348.03,1317.13,1340.76,1360.22,988.022,1.0
1997,7.13,0.839954,147.027,0.839954,264.5,0.0,3.208,0.834247,98.41,0.715183,932.7,1.0,2.301,0.827626,0.532862413257,0.764497716895,72.2925604848,0.676940639269,283.291186606,0.647716894977,370.234,0.929795,7.847,0.815183,-9999,1.0,36.9278,0.829795,-9999,0.177302,33.053,0.930251,-9999,0.325591,-96.6442,0.862443,8.18401,-119.241,-86.0994,-42.4963,0.879566,0.859932,0.833676,1329.42,1324.11,1349.38,1368.64,1444.43,1422.65,1446.7,1451.49,1429.81,1340.96,1397.65,1454.01,1386.32,1367.48,1397.54,1437.25,1035.43,1.0
1998,8.892,0.9621,147.001,0.960845,267.629,0.0,3.491,0.960502,98.479,0.920548,954.9,1.0,2.196,0.830251,0.470756612134,0.738584474886,76.5863465918,0.88196347032,292.12383783,0.898401826484,373.419,0.954338,9.597,0.947831,-9999,1.0,32.8109,0.944064,-9999,0.223599,38.7497,0.951598,-9999,0.362008,-86.9342,0.893037,9.33505,-103.57,-85.5733,-75.6309,0.908219,0.875913,0.857306,1082.33,1092.9,1106.06,1123.88,1184.78,1189.97,1195.14,1201.67,1157.95,1118.23,1161.89,1263.39,1252.21,1238.6,1257.44,1277.57,982.562,1.0
1999,9.011,0.951484,157.443,0.901712,265.185,0.0,3.999,0.949886,98.708,0.812329,1027.2,1.0,2.187,0.728881,0.496193447008,0.63904109589,96.709256325,0.874885844749,324.490920371,0.781849315068,375.857,0.933562,10.091,0.951712,-9999,1.0,37.2515,0.919064,-9999,0.250234,44.5419,0.926826,-9999,0.416073,-163.615,0.878539,8.00099,-182.569,-163.615,-153.363,0.892009,0.878539,0.842123,1186.58,1167.79,1178.39,1186.79,1357.32,1321.14,1333.79,1344.64,1062.89,1112.04,1145.22,1187.3,1339.28,1339.28,1357.41,1371.43,1044.55,1.0
2000,8.125,0.807946,138.658,0.941485,260.725,0.0,3.176,0.806125,98.702,0.888661,1082.8,1.0,2.284,0.774362,0.543720001281,0.717099271403,59.1306913074,0.830942622951,269.288256766,0.867258652095,383.028,0.91826,8.566,0.925433,-9999,1.0,39.4046,0.769581,-9999,0.269161,31.4716,0.932491,-9999,0.297931,-238.565,0.903347,8.84551,-250.561,-234.978,-211.915,0.913365,0.900159,0.878643,1285.22,1243.63,1282.46,1299.51,1522.71,1481.75,1492.04,1513.63,1225.43,1204.79,1226.91,1261.06,1477.56,1437.09,1472.18,1497.14,1074.63,1.0
