# Annual output values extracted from ELM simulation
# Source file: tmpxzyuntuk.nc
# Years: 2002 - 2011
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2002	2554.502686	803.280884	2630.684814	365.629150	-0.000012	-0.000002	879.462952	40.631290	101.442177	582685.687500	18528.810547	23141.556641	46979.484375
2003	2496.166504	923.096069	2454.752930	248.252365	-0.000008	0.000001	881.682373	41.196735	105.144310	569379.125000	18562.984375	22725.824219	46662.218750
2004	2695.989502	1010.712036	2613.552490	207.445908	-0.000007	0.000003	928.275146	35.836174	100.425667	614959.000000	18568.962891	22609.462891	46481.359375
2005	2662.033203	966.509766	2617.158447	241.562927	-0.000008	0.000001	921.635132	35.176270	100.241570	607213.437500	18566.556641	22405.333984	46228.820312
2006	2750.329834	945.603333	2708.015137	239.458038	-0.000008	0.000001	903.288940	37.467384	96.632278	627354.125000	18547.457031	22296.048828	46006.609375
2007	2524.281006	869.588989	2528.059326	281.558807	-0.000009	-0.000000	873.367249	40.167126	100.176476	575792.125000	18555.994141	21975.992188	45712.460938
2008	2907.395020	1061.796875	2767.718506	133.955383	-0.000004	0.000004	922.120117	34.569824	101.124466	663180.937500	18549.406250	21893.195312	45550.296875
2009	2816.209717	947.386597	2742.386719	196.839584	-0.000006	0.000002	873.563782	37.835323	95.377037	642381.375000	18544.777344	21826.365234	45426.785156
2010	2717.041260	925.639099	2695.678223	247.684570	-0.000008	0.000001	904.276489	29.793488	111.511024	619760.937500	18555.300781	21509.375000	45127.890625
2011	3088.353516	1124.719604	2964.692871	145.106735	-0.000005	0.000004	1001.058838	27.548126	102.367851	704457.750000	18540.603516	21427.892578	44939.820312
