# Monthly output values extracted from ELM simulation
# Source file: tmp8t99reg7.nc
# Years: 2002 - 2011
#
# Variables:
#   GPP: gross primary production (monthly sum, gC/m2/month)
#   NPP: net primary production (monthly sum, gC/m2/month)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (monthly sum, gC/m2/month)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (monthly sum, gC/m2/month)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   HR: total heterotrophic respiration (monthly sum, gC/m2/month)
#   FSH: sensible heat (monthly mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (monthly mean, W/m^2)
#   FPSN: photosynthesis (mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (monthly mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (monthly mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (monthly mean, gC/m^2)
#
Year	Month	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2002	01	87.580956	-16.748999	122.132904	59.268581	-0.000022	-0.000013	17.802948	93.186829	38.113701	235217.046875	18527.109375	23218.564453	47153.039062
2002	01	87.683426	-22.652435	133.465607	70.495888	-0.000026	-0.000017	23.129740	69.030365	72.152344	235492.265625	18527.171875	23214.916016	47150.812500
2002	01	103.706688	-6.518817	142.514099	63.520657	-0.000024	-0.000014	32.288589	42.525955	81.992401	278526.125000	18527.279297	23211.437500	47148.550781
2002	01	237.783676	98.434608	246.217407	33.146431	-0.000012	-0.000003	106.868340	20.440830	89.194130	638618.000000	18527.519531	23209.529297	47146.531250
2002	01	262.263824	105.750320	280.945343	43.393364	-0.000016	-0.000007	124.431862	36.387409	124.152641	704364.562500	18528.033203	23209.962891	47145.132812
2002	01	270.096741	113.969139	293.301819	47.915901	-0.000018	-0.000009	137.174194	30.273006	101.487160	725401.625000	18528.498047	23210.820312	47143.867188
2002	01	246.752304	95.315147	292.564941	70.522446	-0.000026	-0.000017	141.127777	9.124634	84.866920	662705.187500	18528.919922	23211.646484	47142.304688
2002	01	258.902985	99.546753	303.685272	69.491089	-0.000026	-0.000017	144.329041	21.713329	82.796989	695338.437500	18529.328125	23212.044922	47140.171875
2002	01	252.129745	94.007286	296.543121	69.121162	-0.000026	-0.000017	138.420670	-9.721438	96.101677	677147.375000	18529.666016	23212.513672	47138.144531
2002	01	257.019501	99.591240	294.913605	62.600845	-0.000023	-0.000014	137.485336	24.824615	104.105309	690279.875000	18530.013672	23212.937500	47136.277344
2002	01	279.204773	120.650734	296.549500	42.050449	-0.000016	-0.000006	137.995483	32.770515	106.514481	749863.062500	18530.261719	23213.791016	47134.773438
2002	01	182.679596	45.533928	272.450714	114.475906	-0.000043	-0.000034	135.305038	-0.884378	49.714535	490624.406250	18530.589844	23214.021484	47132.730469
2002	01	250.680771	96.982307	283.015564	57.038662	-0.000021	-0.000012	129.317078	-4.555336	104.861954	673255.937500	18530.962891	23213.357422	47129.925781
2002	01	244.312119	89.140549	282.720032	63.110905	-0.000024	-0.000014	127.548462	34.593483	138.555939	656151.562500	18531.230469	23213.726562	47128.289062
