# Monthly output values extracted from ELM simulation
# Source file: tmpgy1mq50u.nc
# Years: 2001 - 2010
#
# Variables:
#   GPP: gross primary production (monthly sum, gC/m2/month)
#   NPP: net primary production (monthly sum, gC/m2/month)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (monthly sum, gC/m2/month)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (monthly sum, gC/m2/month)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   HR: total heterotrophic respiration (monthly sum, gC/m2/month)
#   FSH: sensible heat (monthly mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (monthly mean, W/m^2)
#   FPSN: photosynthesis (mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (monthly mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (monthly mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (monthly mean, gC/m^2)
#
Year	Month	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2001	01	0.000000	-3.295745	3.458685	6.848358	-0.000003	-0.000001	0.162941	-0.312569	-3.462936	0.000000	57169.167969	17624.365234	83175.976562
2001	01	0.000000	-5.123741	5.282465	8.672296	-0.000003	-0.000002	0.158724	-7.637157	-4.188991	0.000000	57169.164062	17623.023438	83175.703125
2001	01	0.000000	-5.142596	5.298309	8.688146	-0.000003	-0.000002	0.155714	-5.377026	-7.378432	0.000000	57169.160156	17621.658203	83175.390625
2001	01	0.000000	-5.664585	5.818759	9.208600	-0.000003	-0.000002	0.154174	-5.299460	-1.451943	0.000000	57169.160156	17620.298828	83175.093750
2001	01	0.000000	-6.211373	6.364823	9.754665	-0.000004	-0.000002	0.153450	-20.866270	-5.894921	0.000000	57169.156250	17618.919922	83174.765625
2001	01	0.000000	-5.333682	5.487353	8.877197	-0.000003	-0.000002	0.153671	-14.081774	-7.114807	0.000000	57169.156250	17617.554688	83174.460938
2001	01	0.000000	-6.383304	6.537685	9.927531	-0.000004	-0.000002	0.154381	-7.756682	-3.026642	0.000000	57169.156250	17616.179688	83174.140625
2001	01	0.000000	-5.213001	5.368420	8.758266	-0.000003	-0.000002	0.155419	-9.570277	-6.723606	0.000000	57169.152344	17614.806641	83173.820312
2001	01	0.000000	-4.704097	4.860494	8.250347	-0.000003	-0.000002	0.156397	-7.361528	-2.007571	0.000000	57169.152344	17613.462891	83173.539062
2001	01	0.000000	-5.815733	5.972799	9.362655	-0.000003	-0.000002	0.157065	-24.514244	-8.504472	0.000000	57169.148438	17612.105469	83173.234375
2001	01	0.000000	-5.038496	5.196249	8.586107	-0.000003	-0.000002	0.157752	-5.512005	-7.620064	0.000000	57169.148438	17610.744141	83172.929688
2001	01	0.000000	-5.427392	5.585827	8.975689	-0.000003	-0.000002	0.158436	1.943989	-2.729847	0.000000	57169.144531	17609.388672	83172.625000
2001	01	0.000000	-4.514963	4.674004	8.063870	-0.000003	-0.000002	0.159041	0.572554	-1.694171	0.000000	57169.144531	17608.042969	83172.335938
2001	01	0.000000	-4.103800	4.263275	7.653146	-0.000003	-0.000002	0.159475	1.269365	-6.091748	0.000000	57169.140625	17606.705078	83172.054688
2001	01	0.000000	-4.316826	4.476448	7.866325	-0.000003	-0.000002	0.159621	1.177674	-0.883441	0.000000	57169.140625	17605.378906	83171.781250
2001	01	0.000000	-4.663536	4.823160	8.213040	-0.000003	-0.000002	0.159623	14.107493	-4.677577	0.000000	57169.136719	17604.033203	83171.492188
2001	01	0.000000	-4.292995	4.452724	7.842611	-0.000003	-0.000002	0.159729	0.895773	0.591860	0.000000	57169.136719	17602.708984	83171.226562
2001	01	0.000000	-6.359919	6.519661	9.909549	-0.000004	-0.000002	0.159743	-18.772532	-7.066402	0.000000	57169.132812	17601.349609	83170.921875
2001	01	0.000000	-4.624861	4.785046	8.174932	-0.000003	-0.000002	0.160185	-0.672509	-8.543196	0.000000	57169.132812	17599.994141	83170.617188
2001	01	0.000000	-5.058017	5.218696	8.608584	-0.000003	-0.000002	0.160679	-7.054565	-4.000254	0.000000	57169.128906	17598.656250	83170.335938
2001	01	0.000000	-5.313960	5.474987	8.864876	-0.000003	-0.000002	0.161026	-2.482211	-1.903683	0.000000	57169.128906	17597.308594	83170.039062
2001	01	0.000000	-5.615086	5.776510	9.166399	-0.000003	-0.000002	0.161424	-3.938932	1.988844	0.000000	57169.125000	17595.957031	83169.742188
2001	01	0.000000	-5.452096	5.614017	9.003904	-0.000003	-0.000002	0.161922	-14.557398	-6.548536	0.000000	57169.125000	17594.593750	83169.437500
2001	01	0.000000	-4.513584	4.676069	8.065956	-0.000003	-0.000002	0.162485	-0.235689	-8.433181	0.000000	57169.121094	17593.250000	83169.148438
2001	01	0.000000	-4.238120	4.400907	7.790799	-0.000003	-0.000002	0.162787	-3.420356	-0.672690	0.000000	57169.121094	17591.929688	83168.882812
2001	01	0.000000	-4.678988	4.841707	8.231600	-0.000003	-0.000002	0.162720	-0.547028	-1.463185	0.000000	57169.117188	17590.595703	83168.601562
2001	01	0.000000	-4.196155	4.358826	7.748722	-0.000003	-0.000002	0.162672	2.149163	-4.192933	0.000000	57169.117188	17589.265625	83168.328125
2001	01	0.000000	-4.630151	4.792749	8.182647	-0.000003	-0.000002	0.162598	1.232633	-1.098523	0.000000	57169.113281	17587.937500	83168.054688
2001	01	0.000000	-5.406022	5.568564	8.958462	-0.000003	-0.000002	0.162543	1.540076	0.430838	0.000000	57169.113281	17586.597656	83167.765625
2001	01	0.000000	-4.972329	5.135037	8.524933	-0.000003	-0.000002	0.162708	6.929011	1.524382	0.000000	57169.109375	17585.251953	83167.476562
2001	01	0.000000	-5.224933	5.387933	8.777827	-0.000003	-0.000002	0.163001	2.557106	1.881153	0.000000	57169.109375	17583.912109	83167.187500
2001	02	0.000000	-3.948843	4.096335	7.158174	-0.000003	-0.000002	0.147492	17.879282	-4.948073	0.000000	57169.105469	17582.568359	83166.898438
2001	02	0.000000	-3.021273	3.168928	6.230770	-0.000003	-0.000001	0.147655	6.750188	-0.492558	0.000000	57169.105469	17581.263672	83166.648438
2001	02	0.000000	-4.006828	4.154238	7.216082	-0.000003	-0.000002	0.147409	-5.429266	-3.048715	0.000000	57169.101562	17579.947266	83166.382812
2001	02	0.000000	-5.050974	5.198127	8.259970	-0.000003	-0.000002	0.147153	-4.113188	-1.673246	0.000000	57169.101562	17578.609375	83166.101562
2001	02	0.000000	-4.802113	4.949332	8.011169	-0.000003	-0.000002	0.147219	-8.313831	-5.288987	0.000000	57169.097656	17577.257812	83165.804688
2001	02	0.000000	-3.898041	4.045600	7.107437	-0.000003	-0.000002	0.147560	-0.947337	-3.121317	0.000000	57169.097656	17575.927734	83165.523438
2001	02	0.000000	-3.008271	3.156155	6.217993	-0.000003	-0.000001	0.147884	7.955104	-3.818940	0.000000	57169.093750	17574.617188	83165.265625
2001	02	0.000000	-2.667556	2.815535	5.877378	-0.000002	-0.000001	0.147979	17.343246	-2.098599	0.000000	57169.093750	17573.322266	83165.023438
2001	02	0.000000	-2.929608	3.077411	6.139258	-0.000003	-0.000001	0.147803	9.975894	0.293057	0.000000	57169.089844	17572.029297	83164.781250
