# Monthly output values extracted from ELM simulation
# Source file: tmpfkzq_l8f.nc
# Years: 2001 - 2014
#
# Variables:
#   GPP: gross primary production (monthly sum, gC/m2/month)
#   NPP: net primary production (monthly sum, gC/m2/month)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (monthly sum, gC/m2/month)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (monthly sum, gC/m2/month)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   HR: total heterotrophic respiration (monthly sum, gC/m2/month)
#   FSH: sensible heat (monthly mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (monthly mean, W/m^2)
#   FPSN: photosynthesis (mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (monthly mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (monthly mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (monthly mean, gC/m^2)
#
Year	Month	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2001	01	173.350372	100.552719	106.292343	-67.058014	0.000025	0.000025	33.494705	139.247437	67.207710	465568.843750	22197.828125	16898.207031	44719.214844
2001	01	148.297821	76.072998	107.312248	-40.985584	0.000015	0.000015	35.087414	139.214325	64.506943	398284.968750	22197.777344	16899.287109	44720.878906
2001	01	125.153511	55.798466	106.057556	-19.095955	0.000007	0.000007	36.702511	141.761368	57.971291	336126.062500	22197.753906	16899.757812	44721.882812
2001	01	168.997726	92.874062	110.116127	-58.881599	0.000022	0.000022	33.992462	121.635277	62.848927	453878.906250	22197.708984	16900.699219	44723.390625
2001	01	133.694168	60.816818	108.068375	-25.625786	0.000010	0.000010	35.191032	77.427238	57.195080	359063.781250	22197.666016	16901.505859	44724.777344
2001	01	126.000893	52.651535	109.646751	-16.354139	0.000006	0.000006	36.297398	46.784584	61.158764	338401.875000	22197.656250	16901.640625	44725.445312
2001	01	155.945709	82.744705	105.924377	-50.021332	0.000019	0.000019	32.723377	39.057884	64.556046	418824.968750	22197.601562	16902.646484	44727.062500
2001	01	212.913406	134.714417	137.963181	-74.950226	0.000028	0.000028	59.764183	23.830294	108.794258	571823.687500	22197.541016	16904.767578	44729.375000
2001	01	199.461716	120.591385	136.456192	-63.005531	0.000024	0.000024	57.585854	104.358269	136.677902	535696.312500	22197.513672	16907.214844	44731.566406
2001	01	154.879547	83.137123	125.266647	-29.612906	0.000011	0.000011	53.524220	127.974831	109.924530	415961.593750	22197.531250	16908.380859	44732.632812
2001	01	147.953873	75.232796	123.236801	-24.717054	0.000009	0.000009	50.515743	128.688416	92.679703	397361.187500	22197.548828	16909.177734	44733.464844
2001	01	118.417702	48.325176	120.447556	2.029849	-0.000001	-0.000001	50.355026	111.564095	79.119949	318035.625000	22197.568359	16909.447266	44733.808594
