# Monthly output values extracted from ELM simulation
# Source file: tmp343s4ek2.nc
# Years: 2007 - 2014
#
# Variables:
#   GPP: gross primary production (monthly sum, gC/m2/month)
#   NPP: net primary production (monthly sum, gC/m2/month)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (monthly sum, gC/m2/month)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (monthly sum, gC/m2/month)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   HR: total heterotrophic respiration (monthly sum, gC/m2/month)
#   FSH: sensible heat (monthly mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (monthly mean, W/m^2)
#   FPSN: photosynthesis (mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (monthly mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (monthly mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (monthly mean, gC/m^2)
#
Year	Month	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2007	01	0.000000	-0.919826	17.024818	17.024818	-0.000006	-0.000006	16.104994	10.078561	5.423361	0.000000	6294.294434	515.785461	6878.325195
2007	01	0.000000	-0.957743	16.798388	16.798388	-0.000006	-0.000006	15.840645	-1.523907	6.405561	0.000000	6294.231445	515.725220	6877.775391
2007	01	0.000000	-0.950210	16.442373	16.442373	-0.000006	-0.000006	15.492165	-1.574821	5.520917	0.000000	6294.167969	515.664551	6877.239258
2007	01	0.000000	-1.009423	16.983879	16.983879	-0.000006	-0.000006	15.974456	-1.029454	5.774093	0.000000	6294.102051	515.603577	6876.699219
2007	01	0.000000	-1.090468	19.748285	19.748285	-0.000007	-0.000007	18.657818	5.229618	7.153393	0.000000	6294.030273	515.538940	6876.104004
2007	01	0.000000	-0.887646	16.761065	16.761065	-0.000006	-0.000006	15.873418	6.165526	15.051229	0.000000	6293.948730	515.477966	6875.507324
2007	01	0.000000	-0.857721	15.380013	15.380013	-0.000006	-0.000006	14.522291	4.325362	9.501258	0.000000	6293.872559	515.420837	6874.995605
2007	01	0.000000	-0.953561	15.957289	15.957289	-0.000006	-0.000006	15.003729	-6.700786	7.463840	0.000000	6293.798340	515.362305	6874.490234
2007	01	0.000000	-1.017118	16.201439	16.201439	-0.000006	-0.000006	15.184319	-12.686963	6.007534	0.000000	6293.721191	515.300964	6873.970703
2007	01	0.000000	-1.014895	16.456585	16.456585	-0.000006	-0.000006	15.441689	-5.365792	4.370122	0.000000	6293.641113	515.238464	6873.439941
