# Monthly output values extracted from ELM simulation
# Source file: tmpuln7ykmc.nc
# Years: 2008 - 2013
#
# Variables:
#   GPP: gross primary production (monthly sum, gC/m2/month)
#   NPP: net primary production (monthly sum, gC/m2/month)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (monthly sum, gC/m2/month)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (monthly sum, gC/m2/month)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   HR: total heterotrophic respiration (monthly sum, gC/m2/month)
#   FSH: sensible heat (monthly mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (monthly mean, W/m^2)
#   FPSN: photosynthesis (mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (monthly mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (monthly mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (monthly mean, gC/m^2)
#
Year	Month	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2008	01	358.124481	21.708305	478.034424	119.909966	-0.000045	-0.000045	141.618271	0.282487	87.938171	961818.562500	20956.953125	2504.220215	23758.615234
2008	01	441.039948	70.106163	515.007568	73.967613	-0.000028	-0.000028	144.073776	-6.979833	99.136971	1184505.500000	20956.183594	2505.729980	23755.699219
2008	01	515.057068	148.025574	509.445221	-5.611804	0.000002	0.000002	142.413757	13.599327	126.685013	1383294.000000	20955.162109	2512.099609	23757.595703
2008	01	541.573303	176.939499	508.959381	-32.613945	0.000012	0.000012	144.325562	3.865597	139.897522	1454509.000000	20954.175781	2517.146240	23758.156250
2008	01	670.381958	285.189423	521.747314	-148.634689	0.000055	0.000055	136.554749	23.329422	155.373978	1800451.750000	20953.062500	2525.727539	23762.357422
2008	01	742.521912	329.060150	542.122742	-200.399170	0.000075	0.000075	128.661026	-8.091090	219.341156	1994198.500000	20951.855469	2536.776611	23769.275391
2008	01	666.745972	284.366119	507.723389	-159.022629	0.000059	0.000059	125.343491	-3.871521	176.092209	1790686.500000	20950.707031	2546.679443	23775.246094
2008	01	583.304504	222.451431	486.538208	-96.766258	0.000036	0.000036	125.685173	7.446910	132.321243	1566586.875000	20949.597656	2554.837158	23779.449219
2008	01	684.008850	301.648956	501.871674	-182.137192	0.000068	0.000068	119.511795	-1.436374	182.909851	1837049.625000	20948.490234	2564.107178	23784.927734
2008	01	545.690674	196.669998	475.898529	-69.792145	0.000026	0.000026	126.877853	11.676618	124.987206	1465567.000000	20947.416016	2571.574463	23788.560547
2008	01	512.532776	172.633041	467.917389	-44.615383	0.000017	0.000017	128.017654	9.783257	110.733124	1376514.375000	20946.353516	2577.520020	23790.513672
2008	01	511.129578	176.417923	463.324432	-47.805126	0.000018	0.000018	128.612808	7.869863	114.169525	1372745.875000	20945.269531	2583.572754	23792.576172
2008	01	474.522095	149.139282	456.323608	-18.198500	0.000007	0.000007	130.940781	1.001638	114.619080	1274428.750000	20944.199219	2588.646240	23793.576172
2008	01	558.984802	221.239410	463.613586	-95.371178	0.000036	0.000036	125.868248	14.820237	122.848938	1501271.000000	20943.066406	2595.521484	23796.468750
2008	01	557.949524	216.623596	467.623596	-90.325928	0.000034	0.000034	126.297668	7.949025	122.273506	1498490.750000	20941.888672	2603.130127	23800.158203
2008	01	518.138977	193.047562	450.471100	-67.667892	0.000025	0.000025	125.379669	1.703117	118.893494	1391571.125000	20940.744141	2609.405029	23802.498047
2008	01	557.900696	231.579849	447.618042	-110.282684	0.000041	0.000041	121.297173	18.260763	122.177582	1498359.625000	20939.566406	2617.211426	23806.488281
2008	01	619.417419	279.474823	458.974854	-160.442581	0.000060	0.000060	119.032242	21.483274	133.535721	1663575.750000	20938.375000	2625.806641	23811.359375
2008	01	538.583374	215.731812	443.844940	-94.738426	0.000035	0.000035	120.993401	9.609134	119.833069	1446478.875000	20937.175781	2633.584473	23815.408203
2008	01	433.882538	130.922211	425.996307	-7.886275	0.000003	0.000003	123.035942	-0.925226	96.144424	1165282.875000	20936.031250	2638.907715	23816.900391
2008	01	297.131470	17.695173	399.413055	102.281578	-0.000038	-0.000038	119.976753	-10.024599	59.729092	798009.000000	20935.119141	2639.441162	23813.628906
2008	01	651.225830	316.743683	447.584808	-203.641006	0.000076	0.000076	113.102684	16.691717	146.539322	1749003.875000	20933.998047	2647.986572	23818.613281
2008	01	606.926575	247.250839	471.808502	-135.118088	0.000050	0.000050	112.132751	-0.809802	162.329208	1630028.875000	20932.740234	2656.689453	23823.847656
2008	01	551.126221	233.487991	431.725189	-119.401031	0.000045	0.000045	114.086952	11.989271	116.551239	1480165.250000	20931.501953	2664.526855	23828.169922
2008	01	615.538879	279.271271	446.137878	-169.400955	0.000063	0.000063	109.870316	-2.401716	151.897964	1653158.875000	20930.291016	2672.800781	23832.972656
