# Annual output values extracted from ELM simulation
# Source file: tmp3elyacet.nc
# Years: 2003 - 2013
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2003	467.097961	210.950821	471.036499	3.938507	-0.000000	-0.000000	214.889343	4.737904	10.911649	106545.703125	92062.359375	1404.133911	94380.351562
2004	440.988312	194.476471	430.344604	-10.643671	0.000000	0.000000	183.832794	10.502961	10.761690	100590.054688	92050.015625	1409.025391	94377.070312
2005	575.829163	271.393494	520.066040	-55.763172	0.000002	0.000002	215.630310	5.450212	12.938288	131347.453125	92037.953125	1447.419556	94414.531250
2006	566.248901	182.138138	601.067017	34.818043	-0.000001	-0.000001	216.956192	12.113833	13.044928	129162.171875	92023.640625	1481.226074	94439.265625
2007	577.179688	274.180756	527.827271	-49.352444	0.000002	0.000002	224.828308	5.062808	12.510437	131655.500000	92012.359375	1473.885620	94431.296875
2008	507.819244	141.732742	555.455078	47.635845	-0.000002	-0.000002	189.368591	8.134686	11.412584	115834.289062	92002.984375	1481.059570	94441.070312
2009	482.648163	262.315948	436.231079	-46.417099	0.000001	0.000001	215.898849	7.236566	10.490513	110092.734375	92002.671875	1440.991455	94424.375000
2010	535.927551	162.727234	583.934082	48.006523	-0.000002	-0.000002	210.733765	4.693822	12.715333	122245.820312	92002.523438	1473.493164	94443.648438
2011	484.333160	245.818665	542.721863	58.388721	-0.000002	-0.000002	304.207397	-3.012016	11.039329	110477.070312	91996.078125	1440.436646	94399.367188
2012	549.383972	207.452118	570.086365	20.702473	-0.000001	-0.000001	228.154587	0.956274	13.126249	125315.250000	91974.312500	1481.829834	94346.757812
2013	482.424225	230.433914	461.880585	-20.543678	0.000001	0.000001	209.890228	-0.473521	11.302978	110041.656250	91943.023438	1475.377075	94337.953125
