# Annual output values extracted from ELM simulation
# Source file: tmpqgb3j8g9.nc
# Years: 1992 - 2014
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1992	1230.231812	762.219421	1159.959839	0.568333	-0.000000	0.000002	691.947510	33.309063	45.980282	280617.625000	37459.605469	17157.835938	62077.250000
1993	1264.620117	766.786438	1141.425415	-52.334015	0.000002	0.000004	643.591858	30.257103	45.626396	288461.593750	37465.664062	17156.660156	62118.214844
1994	1275.714722	781.325378	1200.041260	-4.847147	0.000000	0.000002	705.652039	26.910749	47.192600	290992.312500	37475.554688	17150.929688	62154.882812
1995	1321.636230	812.029541	1171.171387	-79.655823	0.000003	0.000005	661.564880	32.263424	50.211815	301467.125000	37475.765625	17189.701172	62166.050781
1996	1275.479248	781.323608	1253.760376	49.004520	-0.000002	0.000001	759.604736	29.311697	48.114414	290938.625000	37476.429688	17199.013672	62210.554688
1997	1236.186401	761.499207	1126.857788	-38.794319	0.000001	0.000003	652.170654	32.645206	45.884132	281975.843750	37475.640625	17194.164062	62187.289062
1998	1430.475952	885.643616	1268.987915	-91.065445	0.000003	0.000005	724.155640	30.255772	49.063934	326293.625000	37470.707031	17270.035156	62245.035156
1999	1278.709839	802.123779	1161.815674	-46.495064	0.000001	0.000004	685.229675	29.680439	50.864513	291675.500000	37470.023438	17332.341797	62334.765625
2000	1369.712280	859.544373	1242.411743	-57.593201	0.000002	0.000004	732.243958	31.697426	47.837574	312433.281250	37468.101562	17377.341797	62354.656250
2001	1260.935547	784.000671	1138.254639	-54.598354	0.000002	0.000004	661.319763	28.776434	49.629463	287621.187500	37462.707031	17458.361328	62451.058594
2002	1346.280396	832.674927	1194.479736	-85.189682	0.000003	0.000005	680.874390	28.495667	50.327168	307088.468750	37466.804688	17503.171875	62478.894531
2003	1277.224243	798.409668	1178.737793	-32.945877	0.000001	0.000003	699.923279	28.082930	48.629906	291336.625000	37465.921875	17552.777344	62561.660156
2004	1436.462158	908.438293	1251.859009	-119.808144	0.000004	0.000006	723.835144	29.451990	49.755791	327659.031250	37464.460938	17648.353516	62635.320312
2005	1355.272095	853.579651	1168.892578	-121.985863	0.000004	0.000006	667.200073	29.445221	49.602612	309139.468750	37460.472656	17764.089844	62756.855469
2006	1370.199341	858.480469	1297.497192	-8.584650	0.000000	0.000002	785.778381	28.957411	48.921906	312544.437500	37462.648438	17841.710938	62835.371094
2007	1315.632812	816.949097	1154.489014	-97.846947	0.000003	0.000005	655.805237	29.585991	49.020554	300097.687500	37451.710938	17918.585938	62850.378906
2008	1357.565796	844.357422	1251.765625	-44.144913	0.000001	0.000003	738.557190	27.135412	48.633541	309662.656250	37450.816406	17988.345703	62949.097656
2009	1387.854736	871.858582	1243.011719	-85.460091	0.000003	0.000005	727.015747	28.996603	49.304966	316571.593750	37444.132812	18103.753906	63023.078125
2010	1438.077881	893.354858	1214.790405	-165.822281	0.000005	0.000007	670.067505	26.365801	49.725060	328027.593750	37439.949219	18254.298828	63144.628906
2011	1344.338745	833.897644	1295.919434	8.435219	-0.000000	0.000002	785.478394	26.520506	49.844051	306645.531250	37446.875000	18309.617188	63238.519531
2012	1456.763672	900.260681	1284.126587	-116.192436	0.000004	0.000005	727.623596	32.513977	49.616333	332289.843750	37442.101562	18419.718750	63283.500000
2013	1331.311890	829.694580	1190.195923	-87.643929	0.000003	0.000004	688.578430	29.735975	47.979259	303674.125000	37434.371094	18510.572266	63346.820312
2014	1348.472778	828.617432	1259.382080	-40.216671	0.000001	0.000003	739.526733	20.832422	53.562263	307588.562500	37433.773438	18605.685547	63455.199219
