# Monthly output values extracted from ELM simulation
# Source file: tmpxjt9ipar.nc
# Years: 2002 - 2011
#
# Variables:
#   GPP: gross primary production (monthly sum, gC/m2/month)
#   NPP: net primary production (monthly sum, gC/m2/month)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (monthly sum, gC/m2/month)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (monthly sum, gC/m2/month)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   HR: total heterotrophic respiration (monthly sum, gC/m2/month)
#   FSH: sensible heat (monthly mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (monthly mean, W/m^2)
#   FPSN: photosynthesis (mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (monthly mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (monthly mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (monthly mean, gC/m^2)
#
Year	Month	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2002	01	87.469193	-20.245113	124.857948	61.097149	-0.000023	-0.000014	17.143637	93.185623	38.067093	234916.906250	17906.539062	22581.269531	45802.050781
2002	01	87.413116	-26.499346	136.297012	72.589371	-0.000027	-0.000018	22.384560	68.739670	72.468140	234766.296875	17906.591797	22577.640625	45799.773438
2002	01	103.520042	-10.155062	145.150467	65.335403	-0.000024	-0.000016	31.475365	42.360432	82.180710	278024.843750	17906.687500	22574.181641	45797.464844
2002	01	236.997513	94.692467	247.573929	34.280830	-0.000013	-0.000004	105.268898	20.728796	89.176407	636506.625000	17906.921875	22572.291016	45795.414062
2002	01	261.314362	101.740791	281.494537	43.883656	-0.000016	-0.000008	121.920952	36.405540	124.013603	701814.687500	17907.416016	22572.732422	45794.007812
2002	01	269.089935	110.098221	294.500610	49.113174	-0.000018	-0.000009	135.508911	30.528337	101.285149	722697.562500	17907.873047	22573.587891	45792.722656
2002	01	245.772842	91.659348	294.251740	72.180367	-0.000027	-0.000018	140.138260	9.306906	84.816994	660074.625000	17908.322266	22574.410156	45791.117188
2002	01	257.773346	95.463997	306.569916	72.496979	-0.000027	-0.000018	144.260574	21.835913	82.656776	692304.437500	17908.753906	22574.804688	45788.941406
2002	01	251.206253	90.162674	300.306305	72.799400	-0.000027	-0.000018	139.262741	-9.476042	95.921013	674667.125000	17909.173828	22575.253906	45786.808594
2002	01	256.043488	95.766731	297.214813	64.869652	-0.000024	-0.000015	136.938065	25.010695	103.905830	687658.625000	17909.560547	22575.662109	45784.867188
