# Monthly output values extracted from ELM simulation
# Source file: tmpop0mc7vh.nc
# Years: 2007 - 2009
#
# Variables:
#   GPP: gross primary production (monthly sum, gC/m2/month)
#   NPP: net primary production (monthly sum, gC/m2/month)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (monthly sum, gC/m2/month)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (monthly sum, gC/m2/month)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   HR: total heterotrophic respiration (monthly sum, gC/m2/month)
#   FSH: sensible heat (monthly mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (monthly mean, W/m^2)
#   FPSN: photosynthesis (mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (monthly mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (monthly mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (monthly mean, gC/m^2)
#
Year	Month	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2007	01	235.395081	247.383087	210.558701	-23.041567	0.000009	0.000009	222.546722	-42.505867	141.110687	632202.937500	34135.523438	53313.101562	94988.898438
2007	01	275.559509	303.917511	189.364777	-84.400116	0.000032	0.000032	217.722778	9.134242	156.151993	740073.000000	34135.691406	53314.726562	94990.281250
2007	01	272.323822	303.484650	173.511871	-97.017487	0.000036	0.000037	204.672684	-2.964227	153.124573	731382.875000	34135.851562	53317.589844	94993.281250
2007	01	272.594543	302.391144	170.601990	-100.198280	0.000037	0.000038	200.398605	0.743288	145.368225	732109.937500	34136.019531	53320.402344	94996.492188
2007	01	281.658966	310.158997	167.407104	-112.457748	0.000042	0.000043	195.907135	5.748155	167.773239	756454.312500	34136.203125	53323.234375	94999.828125
2007	01	262.479248	295.348114	162.906799	-97.778503	0.000037	0.000037	195.775681	35.569202	101.120735	704943.125000	34136.402344	53326.128906	95003.335938
2007	01	269.760925	299.871704	164.694382	-103.272789	0.000039	0.000039	194.805130	16.395048	133.700378	724499.687500	34136.617188	53328.730469	95006.562500
2007	01	260.454956	292.942108	161.817963	-96.843391	0.000036	0.000037	194.305115	14.137756	116.010948	699506.500000	34136.839844	53331.347656	95009.804688
2007	01	254.722824	289.653503	158.939682	-93.989716	0.000035	0.000036	193.870377	29.423153	98.338646	684111.687500	34137.066406	53333.843750	95012.976562
2007	01	243.966934	280.522125	161.634033	-80.539650	0.000030	0.000031	198.189240	16.056526	93.804039	655224.437500	34137.304688	53336.078125	95015.796875
2007	01	257.074982	291.095642	163.624695	-91.657219	0.000034	0.000035	197.645340	30.351164	99.073792	690428.875000	34137.546875	53338.253906	95018.500000
2007	01	267.735474	299.216858	164.926559	-101.016006	0.000038	0.000038	196.407959	19.573393	126.573532	719059.812500	34137.785156	53340.753906	95021.546875
2007	01	261.012207	294.045868	159.326263	-99.893211	0.000037	0.000038	192.359955	11.758018	114.130379	701003.125000	34138.023438	53343.359375	95024.820312
2007	01	268.764343	300.040344	160.978775	-105.993011	0.000040	0.000040	192.254776	3.306175	140.549927	721823.125000	34138.269531	53345.945312	95028.117188
2007	01	266.472382	299.359131	153.708313	-110.971687	0.000041	0.000042	186.595047	13.773515	130.746109	715667.625000	34138.519531	53348.613281	95031.585938
2007	01	272.025635	303.669830	149.115311	-121.118118	0.000045	0.000046	180.759506	-11.926203	160.143158	730582.000000	34138.769531	53351.347656	95035.312500
2007	01	266.134033	299.161560	141.442215	-122.899780	0.000046	0.000047	174.469727	13.645502	121.821747	714758.812500	34139.027344	53354.171875	95039.367188
2007	01	265.700623	299.751251	140.882980	-123.025757	0.000046	0.000047	174.933609	22.710268	110.789116	713594.812500	34139.304688	53356.855469	95043.328125
2007	01	271.049469	302.315308	138.532471	-130.725296	0.000049	0.000049	169.798294	-34.848480	173.942673	727960.312500	34139.597656	53359.476562	95047.273438
2007	01	270.369354	302.253326	129.196533	-139.381271	0.000052	0.000053	161.080536	4.125561	147.177994	726133.750000	34139.882812	53362.265625	95051.671875
2007	01	257.690765	293.683685	124.404968	-131.494431	0.000049	0.000050	160.397888	36.412983	89.780380	692082.750000	34140.183594	53365.027344	95056.218750
2007	01	239.221527	277.576019	135.592209	-101.838127	0.000038	0.000039	173.946686	14.589026	92.398186	642479.687500	34140.527344	53367.328125	95060.062500
2007	01	266.476624	299.860107	148.429443	-116.256149	0.000043	0.000044	181.812943	23.503428	113.037018	715678.937500	34140.898438	53369.531250	95063.398438
2007	01	262.469879	298.680908	143.939285	-116.739731	0.000044	0.000044	180.150314	29.068874	101.886414	704918.000000	34141.253906	53372.210938	95067.148438
2007	01	282.666840	314.900482	144.302933	-136.573212	0.000051	0.000052	176.536575	34.623142	131.172531	759161.187500	34141.597656	53375.015625	95071.117188
2007	01	274.874878	309.928223	136.089249	-136.995117	0.000051	0.000052	171.142609	49.578411	103.701828	738234.312500	34141.925781	53378.179688	95075.625000
2007	01	257.812561	296.184174	130.309570	-125.712639	0.000047	0.000048	168.681198	23.743544	101.421410	692409.812500	34142.265625	53380.968750	95079.828125
2007	01	270.323608	306.259766	126.203064	-142.330383	0.000053	0.000054	162.139206	32.026768	113.146309	726010.875000	34142.597656	53383.691406	95084.164062
2007	01	287.713562	321.085785	123.402214	-162.521347	0.000061	0.000061	156.774429	35.873093	152.857224	772715.250000	34142.941406	53386.742188	95088.976562
2007	01	275.676849	310.320740	118.334770	-155.552246	0.000058	0.000059	152.978668	47.917835	106.597549	740388.125000	34143.285156	53390.027344	95094.234375
2007	01	286.436676	320.051056	117.144997	-167.502014	0.000063	0.000063	150.759399	38.063583	143.718628	769285.875000	34143.656250	53393.148438	95099.343750
2007	02	245.775620	277.489807	104.620140	-139.539154	0.000058	0.000058	136.334305	37.992538	105.580353	730805.187500	34144.031250	53396.375000	95104.664062
2007	02	253.953491	283.146393	106.110947	-146.226379	0.000060	0.000061	135.303864	-1.856031	154.418610	755121.812500	34144.437500	53399.312500	95109.648438
2007	02	254.781509	286.803955	93.996918	-159.168579	0.000066	0.000066	126.019341	20.652849	146.189621	757583.875000	34144.828125	53402.515625	95115.101562
2007	02	248.159134	280.216980	86.144241	-160.399017	0.000066	0.000067	118.202110	15.707369	140.431885	737892.437500	34145.203125	53405.687500	95120.882812
2007	02	254.832047	286.803528	84.942711	-168.273605	0.000070	0.000070	116.914192	25.791986	136.698914	757734.125000	34145.597656	53408.785156	95126.695312
2007	02	255.360825	288.836395	77.992096	-175.753174	0.000073	0.000073	111.467682	33.472515	128.068649	759306.437500	34146.011719	53412.121094	95132.890625
2007	02	251.066711	285.172333	77.189384	-172.261917	0.000071	0.000072	111.294991	22.490341	133.390625	746538.062500	34146.441406	53415.363281	95139.078125
2007	02	248.842453	283.117584	70.932259	-176.294952	0.000073	0.000074	105.207397	-4.117070	154.663589	739924.250000	34146.882812	53418.554688	95145.335938
2007	02	248.347504	286.019318	57.894382	-188.838028	0.000078	0.000079	95.566200	17.657879	157.359680	738452.562500	34147.320312	53421.750000	95151.851562
2007	02	235.003906	276.512299	47.911804	-185.477142	0.000077	0.000077	89.420181	32.725094	113.057549	698775.875000	34147.726562	53424.914062	95158.695312
2007	02	236.829239	277.586212	50.524605	-184.689835	0.000076	0.000077	91.281563	13.714030	139.559860	704203.375000	34148.171875	53427.761719	95165.234375
2007	02	231.820251	276.832336	38.749096	-191.456497	0.000079	0.000080	83.761169	31.725489	134.589935	689309.375000	34148.632812	53430.718750	95171.953125
2007	02	206.617920	259.024933	15.079449	-189.923981	0.000079	0.000079	67.486458	15.333594	104.854843	614371.125000	34148.968750	53433.539062	95178.992188
2007	02	218.333313	267.962280	16.402487	-200.316483	0.000083	0.000083	66.031441	63.654835	124.587143	649206.437500	34149.042969	53435.839844	95185.812500
2007	02	207.933594	262.314240	5.769614	-200.549789	0.000083	0.000084	60.150253	71.232857	103.706497	618283.250000	34149.031250	53438.398438	95193.085938
2007	02	202.209549	258.196014	4.753367	-195.842133	0.000081	0.000082	60.739826	65.799614	115.958733	601263.000000	34149.035156	53440.761719	95200.210938
2007	02	198.729111	254.383820	11.183703	-185.931503	0.000077	0.000078	66.838409	46.616924	104.149048	590914.062500	34149.070312	53442.964844	95207.125000
2007	02	215.087311	266.205078	33.736969	-179.736588	0.000074	0.000075	84.854744	37.933006	108.130821	639554.562500	34149.210938	53445.148438	95213.484375
2007	02	217.806839	266.177063	39.785732	-176.407516	0.000073	0.000074	88.155975	7.547990	126.414734	647640.937500	34149.425781	53447.613281	95219.757812
2007	02	226.231979	273.788757	33.082825	-191.535706	0.000079	0.000080	80.639603	2.091912	176.062042	672692.812500	34149.640625	53450.203125	95226.187500
2007	02	201.884979	256.946869	8.059006	-192.212677	0.000079	0.000080	63.120895	31.647652	112.004364	600297.875000	34149.746094	53452.917969	95233.351562
2007	02	186.416428	245.251740	2.309313	-182.493958	0.000075	0.000076	61.144623	46.406712	111.470192	554302.687500	34149.828125	53454.960938	95240.093750
2007	02	183.106857	244.345093	-1.063280	-182.557144	0.000075	0.000076	60.174961	41.886665	111.839134	544461.812500	34149.917969	53456.722656	95246.656250
2007	02	175.285995	238.206909	-1.764837	-175.437973	0.000073	0.000073	61.156078	49.417099	113.890106	521206.718750	34150.035156	53458.417969	95253.085938
2007	02	156.074142	224.076355	-11.719215	-166.180664	0.000069	0.000069	56.283001	67.426376	112.442146	464080.968750	34150.148438	53459.804688	95259.312500
2007	02	152.412872	222.579742	-14.682064	-165.482391	0.000068	0.000069	55.484798	87.033272	97.705132	453194.312500	34150.253906	53460.832031	95265.289062
2007	02	162.109344	231.683075	-11.827032	-172.323975	0.000071	0.000072	57.746704	76.729179	87.196297	482026.437500	34150.363281	53461.882812	95271.273438
2007	02	167.190277	235.599579	-4.017133	-169.595169	0.000070	0.000071	64.392159	64.340256	76.286316	497134.406250	34150.515625	53463.187500	95277.335938
2007	03	198.463486	270.562378	4.568325	-192.110352	0.000072	0.000072	76.667198	91.863983	97.746857	533015.437500	34150.734375	53464.746094	95283.351562
2007	03	179.764862	256.085938	-4.835280	-182.815475	0.000068	0.000069	71.485794	40.722878	93.820526	482796.312500	34150.933594	53466.343750	95289.523438
2007	03	184.947937	262.670868	-2.835415	-185.998856	0.000069	0.000070	74.887512	50.530670	80.987793	496716.531250	34151.140625	53467.687500	95295.445312
2007	03	195.085770	270.136261	7.858746	-185.442688	0.000069	0.000070	82.909256	41.980625	89.711708	523943.812500	34151.390625	53469.238281	95301.375000
2007	03	201.072998	275.521240	12.846265	-186.442581	0.000070	0.000070	87.294495	29.938051	88.673607	540023.812500	34151.679688	53471.003906	95307.328125
2007	03	208.564514	281.056641	17.192139	-189.588379	0.000071	0.000071	89.684258	41.924496	98.292351	560143.812500	34152.000000	53472.972656	95313.312500
2007	03	181.604248	259.359955	-2.566858	-182.387253	0.000068	0.000069	75.188858	32.478836	124.933304	487736.375000	34152.281250	53474.855469	95319.445312
2007	03	140.840790	229.340347	-26.645006	-165.702118	0.000062	0.000063	61.854557	67.538231	88.820549	378257.500000	34152.468750	53475.988281	95325.359375
2007	03	136.893448	227.802048	-28.869394	-163.979324	0.000061	0.000062	62.039215	93.750633	76.348465	367656.125000	34152.632812	53476.394531	95330.718750
2007	03	130.699600	223.931595	-30.566072	-159.482330	0.000060	0.000060	62.665932	99.831024	74.585060	351021.218750	34152.812500	53476.738281	95335.960938
2007	03	128.633560	223.175552	-32.878777	-159.729156	0.000060	0.000060	61.663223	86.064796	80.988731	345472.437500	34153.000000	53476.964844	95341.109375
2007	03	121.217560	217.431519	-37.352886	-156.787445	0.000059	0.000059	58.861069	88.904922	78.598335	325555.250000	34153.175781	53477.136719	95346.265625
2007	03	119.005859	215.850220	-40.010311	-157.233322	0.000059	0.000059	56.834057	81.321510	77.243179	319615.250000	34153.343750	53477.148438	95351.351562
