# Monthly output values extracted from ELM simulation
# Source file: tmpo4fp2weh.nc
# Years: 2008 - 2014
#
# Variables:
#   GPP: gross primary production (monthly sum, gC/m2/month)
#   NPP: net primary production (monthly sum, gC/m2/month)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (monthly sum, gC/m2/month)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (monthly sum, gC/m2/month)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   HR: total heterotrophic respiration (monthly sum, gC/m2/month)
#   FSH: sensible heat (monthly mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (monthly mean, W/m^2)
#   FPSN: photosynthesis (mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (monthly mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (monthly mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (monthly mean, gC/m^2)
#
Year	Month	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2008	01	9.103455	-8.326717	38.874928	35.378174	-0.000013	-0.000011	21.444754	4.210341	6.742202	24449.240234	35106.261719	15719.955078	63594.433594
2008	01	8.779111	-8.180722	38.852005	35.680779	-0.000013	-0.000011	21.892170	-1.563335	2.090585	23578.146484	35106.296875	15717.943359	63593.218750
2008	01	3.860367	-11.898089	39.126637	40.873283	-0.000015	-0.000013	23.368179	15.918202	-1.709717	10367.826172	35106.339844	15715.942383	63591.941406
2008	01	3.110013	-9.953109	38.117355	40.613487	-0.000015	-0.000013	25.054232	18.517923	-6.962586	8352.594727	35106.382812	15713.895508	63590.562500
2008	01	8.938183	-6.760015	41.206997	37.874107	-0.000014	-0.000012	25.508802	3.775345	5.958826	24005.369141	35106.425781	15711.883789	63589.179688
2008	01	10.870051	-6.216585	46.512703	41.247086	-0.000015	-0.000013	29.426067	1.872757	5.089784	29193.806641	35106.488281	15709.943359	63587.816406
2008	01	14.358694	-5.127375	50.637794	41.882660	-0.000016	-0.000014	31.151726	5.081562	0.047136	38563.289062	35106.601562	15708.055664	63586.382812
2008	01	19.240721	-2.640037	53.243408	39.605370	-0.000015	-0.000013	31.362650	-13.207808	-7.527746	51674.996094	35106.707031	15706.250000	63585.007812
2008	01	17.894547	-5.823273	55.204006	42.911240	-0.000016	-0.000014	31.486185	3.842204	2.627826	48059.566406	35106.808594	15704.495117	63583.687500
2008	01	20.044695	-5.151680	57.539268	43.095448	-0.000016	-0.000014	32.342892	-33.120777	-12.990867	53834.242188	35106.902344	15702.727539	63582.339844
