# Monthly output values extracted from ELM simulation
# Source file: tmppusxicq4.nc
# Years: 2008 - 2014
#
# Variables:
#   GPP: gross primary production (monthly sum, gC/m2/month)
#   NPP: net primary production (monthly sum, gC/m2/month)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (monthly sum, gC/m2/month)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (monthly sum, gC/m2/month)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (monthly mean, gC/m^2/s)
#   HR: total heterotrophic respiration (monthly sum, gC/m2/month)
#   FSH: sensible heat (monthly mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (monthly mean, W/m^2)
#   FPSN: photosynthesis (mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (monthly mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (monthly mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (monthly mean, gC/m^2)
#
Year	Month	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2008	01	0.000000	-0.633334	4.484727	4.484727	-0.000002	-0.000002	3.851393	16.560135	15.766139	0.000000	1368.460693	242.097275	1679.113159
2008	01	0.000000	-0.716293	4.730691	4.730691	-0.000002	-0.000002	4.014399	-9.965198	28.824999	0.000000	1368.538940	242.004700	1678.906250
2008	01	0.000000	-0.694887	4.623903	4.623903	-0.000002	-0.000002	3.929017	-23.973051	44.788006	0.000000	1368.615723	241.913345	1678.698975
2008	01	0.000000	-0.716436	4.545849	4.545849	-0.000002	-0.000002	3.829413	-19.916910	16.977579	0.000000	1368.687744	241.824539	1678.499390
2008	01	0.000000	-0.780707	5.306837	5.306837	-0.000002	-0.000002	4.526130	5.713187	17.108034	0.000000	1368.759766	241.735367	1678.289917
2008	01	0.000000	-0.705550	5.078134	5.078134	-0.000002	-0.000002	4.372584	3.975070	21.199907	0.000000	1368.833252	241.649200	1678.071167
2008	01	0.000000	-0.669471	4.772823	4.772823	-0.000002	-0.000002	4.103351	-6.708666	21.646267	0.000000	1368.899292	241.565308	1677.863281
2008	01	0.000000	-0.653923	4.759993	4.759993	-0.000002	-0.000002	4.106070	9.275364	16.966446	0.000000	1368.960083	241.484177	1677.664185
2008	01	0.000000	-0.646908	4.834672	4.834672	-0.000002	-0.000002	4.187764	20.509298	16.573111	0.000000	1369.019287	241.404861	1677.464478
2008	01	0.000000	-0.662128	4.787066	4.787066	-0.000002	-0.000002	4.124938	25.953613	20.380791	0.000000	1369.074951	241.326828	1677.265991
2008	01	0.000000	-0.592753	4.362152	4.362152	-0.000002	-0.000002	3.769399	23.207521	14.746000	0.000000	1369.124146	241.251221	1677.076904
2008	01	0.000000	-0.608784	4.327297	4.327297	-0.000002	-0.000002	3.718513	22.278303	20.262384	0.000000	1369.168701	241.177505	1676.895996
2008	01	0.000000	-0.613187	4.288258	4.288258	-0.000002	-0.000002	3.675071	18.185722	16.874685	0.000000	1369.210693	241.104706	1676.717041
2008	01	0.000000	-0.632149	4.281749	4.281749	-0.000002	-0.000002	3.649600	10.240564	19.876337	0.000000	1369.250854	241.033173	1676.540527
2008	01	0.000000	-0.610671	4.123381	4.123381	-0.000002	-0.000002	3.512711	12.444251	27.463964	0.000000	1369.288940	240.962616	1676.366821
2008	01	0.000000	-0.608824	4.044224	4.044224	-0.000002	-0.000002	3.435400	11.345288	21.982948	0.000000	1369.323975	240.894028	1676.200562
2008	01	0.000000	-0.531575	3.671703	3.671703	-0.000001	-0.000001	3.140127	41.287540	26.246172	0.000000	1369.357056	240.826859	1676.038086
2008	01	0.000000	-0.413806	2.682967	2.682967	-0.000001	-0.000001	2.269161	54.486992	16.433575	0.000000	1369.380737	240.763992	1675.902588
2008	01	0.000000	-0.438941	2.646217	2.646217	-0.000001	-0.000001	2.207276	39.161449	14.261284	0.000000	1369.398682	240.703461	1675.785278
2008	01	0.000000	-0.487595	2.993097	2.993097	-0.000001	-0.000001	2.505502	22.052736	18.962563	0.000000	1369.418701	240.642838	1675.661011
2008	01	0.000000	-0.551538	3.283460	3.283460	-0.000001	-0.000001	2.731922	4.042210	25.118641	0.000000	1369.440796	240.582108	1675.529175
2008	01	0.000000	-0.543389	3.290408	3.290408	-0.000001	-0.000001	2.747019	16.187267	23.675312	0.000000	1369.463745	240.521439	1675.392334
2008	01	0.000000	-0.545740	3.280840	3.280840	-0.000001	-0.000001	2.735100	16.962833	18.206877	0.000000	1369.485474	240.462189	1675.258301
2008	01	0.000000	-0.567583	3.352326	3.352326	-0.000001	-0.000001	2.784743	10.901784	14.194673	0.000000	1369.507080	240.403488	1675.123169
2008	01	0.000000	-0.601105	3.488972	3.488972	-0.000001	-0.000001	2.887868	27.545515	24.765070	0.000000	1369.528687	240.344742	1674.985352
2008	01	0.000000	-0.522813	3.182080	3.182080	-0.000001	-0.000001	2.659268	34.101654	13.501163	0.000000	1369.548462	240.288010	1674.853394
2008	01	0.000000	-0.575428	3.288915	3.288915	-0.000001	-0.000001	2.713486	14.780971	10.528021	0.000000	1369.567139	240.232666	1674.725586
2008	01	0.000000	-0.711184	3.797840	3.797840	-0.000001	-0.000001	3.086657	-4.500556	19.950119	0.000000	1369.588013	240.174805	1674.585083
2008	01	0.000000	-0.590674	3.933389	3.933389	-0.000001	-0.000001	3.342715	31.756746	35.959808	0.000000	1369.610229	240.117905	1674.437622
2008	01	0.000000	-0.511704	3.496514	3.496514	-0.000001	-0.000001	2.984810	41.283890	26.113834	0.000000	1369.631348	240.064728	1674.296265
2008	01	0.000000	-0.446253	3.043290	3.043290	-0.000001	-0.000001	2.597037	55.448658	23.957327	0.000000	1369.649292	240.013748	1674.168091
2008	02	0.000000	-0.411148	2.664755	2.664755	-0.000001	-0.000001	2.253607	44.048222	15.688541	0.000000	1369.664185	239.964462	1674.052612
2008	02	0.000000	-0.443425	2.779256	2.779256	-0.000001	-0.000001	2.335831	30.373922	23.265446	0.000000	1369.679077	239.915482	1673.937134
2008	02	0.000000	-0.435903	2.682095	2.682095	-0.000001	-0.000001	2.246192	36.428574	23.835203	0.000000	1369.693726	239.866776	1673.822144
2008	02	0.000000	-0.462257	2.688162	2.688162	-0.000001	-0.000001	2.225904	26.580147	23.797556	0.000000	1369.707397	239.818573	1673.710083
2008	02	0.000000	-0.458323	3.222261	3.222261	-0.000001	-0.000001	2.763938	46.619427	30.044493	0.000000	1369.722412	239.770142	1673.591064
2008	02	0.000000	-0.401212	3.171315	3.171315	-0.000001	-0.000001	2.770104	39.253784	23.338085	0.000000	1369.740112	239.724106	1673.460083
2008	02	0.000000	-0.409950	3.075936	3.075936	-0.000001	-0.000001	2.665986	39.701256	19.447100	0.000000	1369.756104	239.679123	1673.335449
2008	02	0.000000	-0.434443	3.125288	3.125288	-0.000001	-0.000001	2.690846	32.845512	19.798473	0.000000	1369.771362	239.634247	1673.211914
2008	02	0.000000	-0.467058	3.228415	3.228415	-0.000001	-0.000001	2.761357	31.330254	21.713549	0.000000	1369.786621	239.589279	1673.086304
2008	02	0.000000	-0.543688	3.429264	3.429264	-0.000001	-0.000001	2.885576	10.449684	24.526995	0.000000	1369.801758	239.543564	1672.957031
2008	02	0.000000	-0.589924	3.591779	3.591779	-0.000001	-0.000001	3.001855	5.922211	31.370718	0.000000	1369.817139	239.496613	1672.820801
2008	02	0.000000	-0.584051	3.518881	3.518881	-0.000001	-0.000001	2.934830	11.660049	36.360062	0.000000	1369.831665	239.449631	1672.683838
2008	02	0.000000	-0.547441	3.346492	3.346492	-0.000001	-0.000001	2.799051	25.696810	28.663111	0.000000	1369.844727	239.403778	1672.552612
2008	02	0.000000	-0.564951	3.254802	3.254802	-0.000001	-0.000001	2.689851	18.440052	41.045582	0.000000	1369.856689	239.358459	1672.424805
2008	02	0.000000	-0.533166	3.017190	3.017190	-0.000001	-0.000001	2.484025	30.833849	35.839138	0.000000	1369.867065	239.313446	1672.302734
2008	02	0.000000	-0.431409	2.896755	2.896755	-0.000001	-0.000001	2.465346	51.759418	36.413322	0.000000	1369.876221	239.270813	1672.189819
2008	02	0.000000	-0.443938	3.220123	3.220123	-0.000001	-0.000001	2.776185	49.936321	40.268856	0.000000	1369.887085	239.230194	1672.071289
2008	02	0.000000	-0.467448	3.148748	3.148748	-0.000001	-0.000001	2.681299	37.113400	32.123524	0.000000	1369.897583	239.189270	1671.950073
2008	02	0.000000	-0.479864	3.139630	3.139630	-0.000001	-0.000001	2.659766	37.213211	30.022472	0.000000	1369.907227	239.148361	1671.830566
2008	02	0.000000	-0.500938	3.163358	3.163358	-0.000001	-0.000001	2.662420	40.310883	35.483559	0.000000	1369.916504	239.107162	1671.709839
2008	02	0.000000	-0.492153	3.045874	3.045874	-0.000001	-0.000001	2.553721	46.682018	35.524002	0.000000	1369.924805	239.066360	1671.592041
2008	02	0.000000	-0.486386	2.905626	2.905626	-0.000001	-0.000001	2.419241	46.929829	33.691612	0.000000	1369.932129	239.025818	1671.478271
2008	02	0.000000	-0.490839	2.857710	2.857710	-0.000001	-0.000001	2.366871	54.449562	32.172775	0.000000	1369.938477	238.985855	1671.369019
2008	02	0.000000	-0.492084	2.837241	2.837241	-0.000001	-0.000001	2.345158	50.089138	27.830357	0.000000	1369.944458	238.946289	1671.261719
2008	02	0.000000	-0.511417	2.832441	2.832441	-0.000001	-0.000001	2.321024	47.872105	27.826225	0.000000	1369.949951	238.907135	1671.155884
2008	02	0.000000	-0.506124	2.793099	2.793099	-0.000001	-0.000001	2.286975	56.966846	24.180790	0.000000	1369.954956	238.867310	1671.048828
2008	02	0.000000	-0.523205	2.740073	2.740073	-0.000001	-0.000001	2.216868	45.719009	24.498636	0.000000	1369.959229	238.828445	1670.946289
2008	02	0.000000	-0.581578	2.834967	2.834967	-0.000001	-0.000001	2.253390	27.217129	20.958958	0.000000	1369.962891	238.788666	1670.842896
2008	03	0.000000	-0.675032	3.211516	3.211516	-0.000001	-0.000001	2.536484	37.649933	21.747332	0.000000	1369.966309	238.747574	1670.734131
2008	03	0.000000	-0.621877	3.063256	3.063256	-0.000001	-0.000001	2.441379	57.368069	17.586363	0.000000	1369.968872	238.706924	1670.625977
2008	03	0.000000	-0.574766	2.869950	2.869950	-0.000001	-0.000001	2.295184	66.549690	15.526189	0.000000	1369.970825	238.667297	1670.522583
2008	03	0.000000	-0.501048	2.672796	2.672796	-0.000001	-0.000001	2.171748	78.949371	10.976299	0.000000	1369.972290	238.629608	1670.426147
2008	03	0.000000	-0.546167	2.712404	2.712404	-0.000001	-0.000001	2.166237	59.892361	16.561602	0.000000	1369.973633	238.592896	1670.333374
2008	03	0.000000	-0.540414	2.644361	2.644361	-0.000001	-0.000001	2.103946	73.536301	17.435501	0.000000	1369.974731	238.555344	1670.239136
2008	03	0.000000	-0.458639	2.381524	2.381524	-0.000001	-0.000001	1.922885	93.342804	11.714487	0.000000	1369.975220	238.518982	1670.150635
2008	03	0.000000	-0.453460	2.294571	2.294571	-0.000001	-0.000001	1.841111	81.075409	11.899563	0.000000	1369.975464	238.484314	1670.069092
2008	03	0.000000	-0.513170	2.448930	2.448930	-0.000001	-0.000001	1.935760	56.557587	11.617633	0.000000	1369.975830	238.449203	1669.986694
2008	03	0.000000	-0.493077	2.429708	2.429708	-0.000001	-0.000001	1.936630	63.738956	10.611852	0.000000	1369.976074	238.413452	1669.900757
2008	03	0.000000	-0.550095	2.625933	2.625933	-0.000001	-0.000001	2.075838	59.358040	10.115870	0.000000	1369.976196	238.377945	1669.814575
2008	03	0.000000	-0.608488	2.795696	2.795696	-0.000001	-0.000001	2.187208	53.556129	13.914133	0.000000	1369.976196	238.341217	1669.721924
2008	03	0.000000	-0.583205	2.715859	2.715859	-0.000001	-0.000001	2.132653	73.931068	14.069436	0.000000	1369.975586	238.304199	1669.627563
2008	03	0.000000	-0.549802	2.570096	2.570096	-0.000001	-0.000001	2.020294	86.860901	11.797009	0.000000	1369.974365	238.268082	1669.537354
2008	03	0.000000	-0.597924	2.611333	2.611333	-0.000001	-0.000001	2.013409	83.140060	13.985082	0.000000	1369.972656	238.231796	1669.448730
2008	03	0.000000	-0.515374	2.375046	2.375046	-0.000001	-0.000001	1.859671	102.964882	10.002189	0.000000	1369.970215	238.195984	1669.363159
2008	03	0.000000	-0.414907	2.235704	2.235704	-0.000001	-0.000001	1.820797	112.695015	22.191332	0.000000	1369.968018	238.162338	1669.284302
2008	03	0.000000	-0.391873	2.700886	2.700886	-0.000001	-0.000001	2.309013	71.108849	51.630245	0.000000	1369.968750	238.130814	1669.199951
2008	03	0.000000	-0.442334	2.727831	2.727831	-0.000001	-0.000001	2.285497	74.487411	49.286804	0.000000	1369.969971	238.098999	1669.106567
2008	03	0.000000	-0.522077	2.868468	2.868468	-0.000001	-0.000001	2.346391	55.832512	36.342266	0.000000	1369.969849	238.065903	1669.012939
