# Annual output values extracted from ELM simulation
# Source file: tmpusogdm1c.nc
# Years: 2000 - 2014
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
2000	0.000000	0.000000	0.003249	0.003249	-0.000000	-0.000000	0.003249	-7.428051	0.299694	0.000000	8.958987	0.000000	8.973554
2001	0.000000	0.000000	0.002197	0.002197	-0.000000	-0.000000	0.002197	-6.822398	-0.290294	0.000000	8.955905	0.000000	8.970433
2002	0.000000	0.000000	0.002146	0.002146	-0.000000	-0.000000	0.002146	-7.393541	-0.138264	0.000000	8.953787	0.000000	8.968296
2003	0.000000	0.000000	0.002607	0.002607	-0.000000	-0.000000	0.002607	-6.127258	-0.834255	0.000000	8.951542	0.000000	8.966026
2004	0.000000	0.000000	0.002784	0.002784	-0.000000	-0.000000	0.002784	-8.635956	-0.208966	0.000000	8.948944	0.000000	8.963393
2005	0.000000	0.000000	0.003170	0.003170	-0.000000	-0.000000	0.003170	-5.990593	0.177789	0.000000	8.945969	0.000000	8.960376
2006	0.000000	0.000000	0.001623	0.001623	-0.000000	-0.000000	0.001623	-11.220920	-0.594771	0.000000	8.943379	0.000000	8.957748
2007	0.000000	0.000000	0.002123	0.002123	-0.000000	-0.000000	0.002123	-7.925248	0.147747	0.000000	8.941584	0.000000	8.955941
2008	0.000000	0.000000	0.003336	0.003336	-0.000000	-0.000000	0.003336	-10.522126	-0.865523	0.000000	8.939337	0.000000	8.953675
2009	0.000000	0.000000	0.002507	0.002507	-0.000000	-0.000000	0.002507	-3.425686	1.152272	0.000000	8.935928	0.000000	8.950227
2010	0.000000	0.000000	0.002985	0.002985	-0.000000	-0.000000	0.002985	-1.137154	1.379429	0.000000	8.933424	0.000000	8.947691
2011	0.000000	0.000000	0.000619	0.000619	-0.000000	-0.000000	0.000619	-14.617407	-1.307271	0.000000	8.931293	0.000000	8.945531
2012	0.000000	0.000000	0.000264	0.000264	-0.000000	-0.000000	0.000264	-15.302253	-1.865726	0.000000	8.930799	0.000000	8.945038
2013	0.000000	0.000000	0.001727	0.001727	-0.000000	-0.000000	0.001727	-16.523121	-1.990006	0.000000	8.930188	0.000000	8.944426
2014	0.000000	0.000000	0.001966	0.001966	-0.000000	-0.000000	0.001966	-14.638144	-1.677504	0.000000	8.928243	0.000000	8.942479
