# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260419_coastal_LA_ICB20TRCNPRDCTCBC_TAM
# Years: 1850 - 2014
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1850	386.997138	7786.873781	-1507.380331	-1900.256944	2007.287516	2001.670702	5892.496308	30.031794	77.445346	88274.592648	74210.034709	218101.951404	352703.955510
1851	393.283187	2595.930424	3942.330270	11261.736695	-12225.414479	-3776.696003	6144.977503	25.270029	80.486465	89708.449128	74195.870711	213440.292315	347863.711252
1852	397.620234	2481.450695	3949.798125	3887.245563	-4138.691457	-3784.702077	6033.628588	28.168333	76.928297	90697.735778	74171.490191	206269.506847	339981.262273
1853	404.135623	3853.876953	2649.715389	3042.302292	-3182.871115	-2378.441665	6099.456711	26.061465	76.850900	92183.905261	74164.148516	203508.134292	336631.706241
1854	386.930352	5696.619427	647.356899	2089.535043	-2522.008448	-222.889819	5957.045980	27.945620	77.486612	88259.358658	74196.857977	200867.309224	333798.411318
1855	376.229160	6799.017261	-1044.262984	-1308.411263	1463.547459	1583.039656	5378.525114	28.454414	75.636763	85818.401508	74138.692743	200228.823531	332936.273275
1856	373.706465	6372.858065	-263.948969	-651.884379	725.182745	710.526778	5735.202631	26.495267	78.329686	85242.971182	74057.914007	200783.355565	333374.145890
1857	336.871547	7768.307196	-2240.224910	-2536.152010	2747.346787	2788.336942	5191.210734	33.666115	69.863390	76840.874647	74056.748386	201806.206929	334617.293915
1858	350.542373	6745.713098	-754.274538	380.243314	-405.660179	1175.794676	5640.896181	28.437433	74.313346	79959.209400	74039.716478	203065.869557	336041.573397
1859	375.892239	5503.774052	1340.040936	1360.928084	-1488.139107	-1069.319055	6467.922745	27.288203	73.272369	85741.549513	73931.007102	203054.652507	335257.435427
1860	366.846209	6326.074089	160.691543	-202.922645	207.013475	210.403252	6119.919427	25.323370	76.657241	83678.137351	73952.495683	202859.276410	334379.064860
1861	341.917714	8316.358715	-2157.709039	-2497.358031	2662.455580	2665.048614	5816.731964	28.154584	76.687443	77991.912465	74041.764596	204158.805196	335632.440280
1862	318.868596	9424.206927	-3239.186437	-3556.815281	3756.910339	3758.198255	5866.151902	30.849574	74.004194	72734.376205	74210.060730	206671.810262	339002.319804
1863	358.271065	4792.986429	1313.807119	956.551286	-1154.925934	-1153.832648	5748.522485	33.471300	73.942568	81722.134790	74457.597741	208195.512462	340388.706880
1864	375.360838	4203.867805	1574.207345	1200.149112	-1323.013505	-1321.664646	5402.714306	31.710095	76.006598	85620.336023	74514.961250	207428.208836	339460.334642
1865	380.861590	4192.513197	2417.278943	2036.648522	-2232.065204	-2231.799277	6228.930548	28.983124	78.660565	86875.065395	74505.646847	206593.601131	338295.943208
1866	353.367672	6054.049042	-136.171125	-488.298433	501.645853	502.932276	5564.510248	31.253605	73.160974	80603.663929	74490.464358	205592.975637	337390.686944
1867	387.238853	6255.632561	-112.291814	-498.369105	481.329200	482.577798	5756.101899	29.610273	77.639781	88329.728222	74380.069861	205803.801117	337339.442512
1868	399.121457	6039.130539	175.161667	-222.571722	196.217689	197.654262	5815.170753	26.508085	80.274640	91040.166971	74236.107693	206311.065559	337420.781517
1869	392.863325	5762.054667	575.992247	183.399041	-262.929893	-262.619252	5945.183599	24.865612	79.272915	89612.678046	74153.062256	206822.078972	337567.876078
1870	389.877278	7796.179668	-1588.905172	-1978.520401	2072.276440	2072.580295	5817.397214	29.812380	78.198635	88931.556665	74162.299426	207791.111577	338468.663694
1871	389.195933	2732.863534	3902.401701	5139.581845	-5784.126375	-3741.004698	6246.069301	24.169813	81.850336	88776.140882	74217.065082	206666.464168	337127.869364
1872	401.699638	2788.028814	3625.160982	3587.643515	-3836.570975	-3451.383942	6011.490157	26.987135	78.408388	91628.253666	74241.935649	202962.032184	332676.856036
1873	411.636745	4234.861441	2298.657461	1881.226000	-2006.946933	-2012.714849	6121.882160	24.887886	78.362993	93894.921539	74248.183893	200957.991323	330081.765495
1874	384.120113	6533.451191	-38.699666	2143.640004	-2161.710648	484.996982	6110.631413	27.454268	78.243012	87618.339177	74338.943739	198862.130429	327960.758436
1875	375.581682	7620.222116	-1895.474160	-1413.156864	1599.209644	2465.667334	5349.166274	28.587497	75.776674	85670.710999	74288.804756	198513.128552	327391.586247
1876	375.080279	6803.607351	-719.804491	-1092.072618	1193.996407	1196.897417	5708.722580	26.140718	78.887047	85556.340178	74173.839351	199359.819360	328084.130443
1877	336.530743	8156.207055	-2588.239207	-2628.798008	2854.410825	3166.805407	5231.437107	33.179060	70.533292	76763.136659	74196.583359	200569.839467	329536.856582
1878	349.674930	7275.146340	-1285.099542	-789.973105	894.771011	1752.405575	5640.371875	27.932465	75.022730	79761.344210	74180.822247	202459.876377	331622.070024
1879	375.794223	6000.122872	914.410334	541.489212	-598.609342	-595.619457	6538.738987	26.461293	74.336914	85719.191716	74091.229224	203475.054221	331899.022074
1880	366.182265	6872.685784	-324.606821	-34.850377	-5.287149	746.010268	6181.896694	24.370525	77.805743	83526.690852	74135.337156	203456.942741	331326.106129
1881	339.750302	8900.684103	-2664.169128	87.901981	-9.339801	3208.331615	5896.764674	27.708725	77.310089	77497.522823	74240.700189	203103.026680	331075.172843
1882	315.171550	10785.827769	-4757.580088	-4220.487342	4599.701112	5467.286299	5713.076126	30.659659	74.257913	71891.074796	74363.735131	204317.083958	332995.540549
1883	345.190958	10037.717405	-4022.882972	-4375.621163	4747.162693	4738.597627	5669.643474	33.321707	74.095118	78738.544126	74421.768662	208675.820002	337336.471121
