# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260422_coastal_LA_ICB20TRCNPRDCTCBC_baseline
# Years: 1850 - 2024
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1850	188.899233	95.137238	188.251998	3.633241	-3.553711	0.888718	94.490004	19.108798	36.236172	43088.181271	5671.090463	1422.687556	7680.047922
1851	175.068113	88.022183	174.859963	4.797420	-5.406522	0.121667	87.814033	19.312020	35.846024	39933.283194	5672.803509	1409.811234	7679.443183
1852	169.138883	83.822449	168.651704	0.576937	-0.667976	0.467447	83.335270	23.940196	36.030274	38580.817532	5675.256440	1401.245132	7676.918782
1853	173.405756	86.247693	178.075415	5.200755	-5.833068	-5.258013	90.917352	17.377439	34.597577	39554.097306	5676.337250	1398.634215	7673.076096
1854	182.197299	92.448763	181.132852	1.890824	-2.488126	1.070911	91.384316	18.579939	36.830938	41559.460557	5673.590222	1400.843667	7664.633434
1855	179.208003	90.968482	176.044595	-0.264122	0.081026	3.380555	87.805074	17.084779	34.891951	40877.598083	5672.457377	1398.206169	7665.999020
1856	170.309827	85.098906	172.195619	8.607039	-9.099419	-2.066686	86.984698	19.918341	34.663241	38847.911682	5673.994679	1386.392452	7662.831149
1857	174.887379	87.071840	182.109420	8.254448	-9.068797	-7.941507	94.293881	24.406713	34.371980	39892.057557	5673.265845	1380.881461	7650.141318
1858	169.885066	84.654621	173.100062	4.655159	-5.097537	-3.502135	87.869618	19.465732	34.897598	38751.023030	5672.592103	1378.082775	7649.403984
1859	168.451888	84.139610	168.311515	1.093226	-1.218776	0.108395	83.999236	20.278990	33.576895	38424.113141	5673.199322	1374.474481	7646.913720
