# Mean(TAM - baseline) over overlapping years 1850-2024
Variable	Mean_baseline	Mean_TAM	Mean_diff	Pct_diff(%)
GPP	184.897028	211.888454	26.991426	14.598
NPP	91.980931	98.626891	6.645959	7.225
ER	180.604759	207.443774	26.839015	14.861
NEE	0.484085	0.267160	-0.216926	-44.811
NBP	-0.553621	-0.368688	0.184933	-33.404
NEP	4.781228	4.934851	0.153623	3.213
HR	87.688662	94.182210	6.493548	7.405
FSH	18.821580	17.073843	-1.747737	-9.286
EFLX_LH_TOT	35.853765	38.683893	2.830129	7.894
FPSN	42175.272739	48332.055070	6156.782331	14.598
TOTSOMC	5638.471665	5992.161296	353.689631	6.273
TOTVEGC	1186.097790	1171.096637	-15.001153	-1.265
TOTECOSYSC	7434.790012	7902.420029	467.630017	6.290
